                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15   
    num cache accesses               |     135626 |     164002 |     125628 |     122360 |     142191 |     136512 |     166403 |     145880 |     160172 |     141157 |     144436 |     158314 |     120054 |     145314 |     159048 |     156844
    num cache misses                 |         16 |         17 |         17 |         17 |         17 |         17 |         17 |         17 |         17 |         17 |         17 |         17 |         17 |         17 |         17 |         17
    miss rate                        |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01%
    mpki                             |       0.03 |       0.03 |       0.04 |       0.04 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.04 |       0.03 |       0.03 |       0.03
  Cache L1-D                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |     279464 |     322025 |     264460 |     259558 |     289310 |     280786 |     325627 |     294838 |     316276 |     287757 |     292672 |     313489 |     256099 |     293989 |     314590 |     311284
    num cache misses                 |      65778 |      62737 |      49096 |      48337 |      57999 |      55743 |      65204 |      59854 |      77414 |      55609 |      57026 |      62017 |      45914 |      58366 |      64177 |      62736
    miss rate                        |     23.54% |     19.48% |     18.56% |     18.62% |     20.05% |     19.85% |     20.02% |     20.30% |     24.48% |     19.32% |     19.48% |     19.78% |     17.93% |     19.85% |     20.40% |     20.15%
    mpki                             |     132.92 |     108.16 |     105.62 |     106.22 |     112.72 |     112.05 |     111.05 |     113.88 |     136.18 |     108.73 |     109.40 |     110.17 |     102.46 |     111.40 |     113.56 |     112.33
  Cache L2                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      65869 |      62831 |      49175 |      48409 |      58099 |      55805 |      65294 |      59949 |      77485 |      55668 |      57122 |      62115 |      46024 |      58449 |      64262 |      62819
    num cache misses                 |      65794 |      62754 |      49113 |      48354 |      58016 |      55760 |      65221 |      59871 |      77431 |      55626 |      57043 |      62034 |      45931 |      58383 |      64195 |      62754
    miss rate                        |     99.89% |     99.88% |     99.87% |     99.89% |     99.86% |     99.92% |     99.89% |     99.87% |     99.93% |     99.92% |     99.86% |     99.87% |     99.80% |     99.89% |     99.90% |     99.90%
    mpki                             |     132.95 |     108.19 |     105.65 |     106.26 |     112.75 |     112.08 |     111.08 |     113.91 |     136.21 |     108.76 |     109.43 |     110.20 |     102.49 |     111.44 |     113.60 |     112.36
  Cache L3                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      65869 |      62831 |      49175 |      48409 |      58099 |      55805 |      65294 |      59949 |      77485 |      55668 |      57122 |      62115 |      46024 |      58449 |      64262 |      62819
    num cache misses                 |      22198 |      36041 |      26604 |      25889 |      31631 |      29898 |      35701 |      32554 |      27521 |      31682 |      31174 |      33803 |      24905 |      31496 |      34356 |      33893
    miss rate                        |     33.70% |     57.36% |     54.10% |     53.48% |     54.44% |     53.58% |     54.68% |     54.30% |     35.52% |     56.91% |     54.57% |     54.42% |     54.11% |     53.89% |     53.46% |     53.95%
    mpki                             |      44.86 |      62.14 |      57.23 |      56.89 |      61.47 |      60.10 |      60.80 |      61.94 |      48.41 |      61.95 |      59.80 |      60.05 |      55.58 |      60.12 |      60.79 |      60.69
DRAM summary                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num dram accesses                  |         88 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |     220.43 |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |     167.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num loads from dram                |          3 |          3 |          6 |          3 |          3 |          3 |          4 |          5 |          3 |          3 |          3 |          3 |          3 |          3 |          3 |          3
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |      12785 |      21893 |      17843 |      17880 |      21432 |      20383 |      22628 |      21399 |      14852 |      19334 |      19544 |      20410 |      15988 |      20187 |      22033 |      22439
