                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15   
    miss rate                        |     33.49% |     56.94% |     54.44% |     56.13% |     54.97% |     55.11% |     55.11% |     55.01% |     34.63% |     62.26% |     59.35% |     59.05% |     58.55% |     59.69% |     57.87% |     58.86%
    mpki                             |      44.47 |      61.15 |      58.92 |      61.06 |      62.52 |      63.70 |      62.97 |      63.07 |      32.31 |      67.69 |      65.42 |      64.62 |      64.40 |      65.81 |      65.43 |      61.16
DRAM summary                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num dram accesses                  |         89 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |     168.24 |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |     114.81 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num loads from dram                |          6 |          3 |          3 |          4 |          3 |          4 |          5 |          3 |          3 |          3 |          3 |          3 |          3 |          3 |          3 |          3
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |      92698 |     149276 |     150666 |     188216 |     173396 |     187254 |     190278 |     187983 |      43324 |     170890 |     174091 |     162713 |     163275 |     185554 |     184697 |     196744
